"family","source_entry","source_line","source_anchor","precondition","action","result","postcondition","existing_catalog_id","existing_test","evidence_status","evidence_path","notes"
"room_entry","world.gd::request_action","Godot/three_d/scripts/world.gd:493","room_blocked_reason(ROOMS[destination].table)","目标房间前置未完成（货运桌未离座）","request_action(room:<dest> 锚点) 或 request_action(ledger_door)","rejected：返回 false，hint_label 写入原因","current_room 不变；hint_label.text 非空（'先完成货运桌并离座'）","(无)","two_tables.gd:62;room_pool_test.gd:83;room_pool_test.gd:93-94","有A4探针后继状态证据","Godot/three_d/scripts/world.gd:493-496;Godot/three_d/scripts/world.gd:517-520;output/external-handoff/A4/a4-world-probe.log","既有测试证据不足：two_tables.gd:62 与 room_pool_test.gd:83 只核返回值，未核快照。探针 room_door_blocked 补齐 checkpoint_state 不变断言"
"room_entry","world.gd::show_run_panel","Godot/three_d/scripts/world.gd:754","func show_run_panel","玩家按 E 触发门/路线/放弃/撤离/背包路线","show_run_panel(action[,preview_only])","accepted：面板主体按分支改写（heading/body/confirm 文本/disabled/transfer_button 可见性），controls_enabled=false，准星隐藏，鼠标可见","run_panel.visible==true；run_action 与 selected_route 被设置；在不同分支下 run_confirm.disabled 与 run_body.text 不同","world.show_run_panel","extraction_fallback_ui_test.gd:36-60;scene_rules_test.gd:79-89;routes_items_test.gd:152-153;playtest_seed_test.gd:26","已登记且有后继状态证据","Godot/three_d/scripts/world.gd:754-825","目录里没有 show_run_panel 的任何登记。既有测试对面板文本/禁用状态断言充分，但未做快照级断言；当前目录复用 world.show_run_panel，不新增分母。"
"room_entry","world.gd::request_action","Godot/three_d/scripts/world.gd:524","""discover_exit"":","run 已激活；射线命中 ExitNoticeTarget","request_action(exit_notice)","accepted：run_game.discover_exit()；exit_notice.title 改为已确认文案；refresh_route_labels/refresh_economy","public_exit==true；route_known('general')==true；exit_notice.title=='出口已确认 · 门口可查看撤离费用'","world.discover_exit","two_tables.gd:77;output/external-handoff/A4/a4-world-probe.log","已登记且有后继状态证据","Godot/three_d/scripts/world.gd:524-529;output/external-handoff/A4/a4-world-probe.log","目录里没有 discover_exit 的登记。既有测试证据不足：two_tables.gd:77 只核 request_action 返回 true，未核 public_exit/title。探针另测重复触发：仍返回 true，但 run_game.revision 与运行状态不变（幂等，非缺陷）；当前目录复用 world.discover_exit，不新增分母。"
"room_entry","world.gd::close_run_panel","Godot/three_d/scripts/world.gd:827","func close_run_panel","玩家按'返回探索'或背包按钮","close_run_panel()","accepted：run_panel.hide；run_action=''；controls_enabled=not paused and not seated；准星与鼠标模式同步","run_panel.visible==false；run_action==''","world.close_run_panel","smoke.gd:72-74;scene_rules_test.gd:90;extraction_fallback_ui_test.gd:59","已登记且有后继状态证据","Godot/three_d/scripts/world.gd:827-832","既有测试调用它并随后成功交互（隐含控制已恢复），但无直接断言；当前目录复用 world.close_run_panel，不新增分母。"
"modal_guards","world.gd::request_action","Godot/three_d/scripts/world.gd:477","services_panel.visible","服务弹窗可见","request_action(anchor)","rejected：返回 false","checkpoint_state 快照完全不变","world.modal_guard","world_coverage_test.gd:37-39","已登记且有后继状态证据","Godot/three_d/scripts/world.gd:477;Godot/three_d/tests/world_coverage_test.gd","探针 guard_services_natural 复核。该守卫项与 can_interact 的 controls_enabled 项重合（open_services 必然关控制）"
"modal_guards","world.gd::request_action","Godot/three_d/scripts/world.gd:477","run_panel.visible","路线确认弹窗可见","request_action(anchor)","rejected：返回 false","checkpoint_state 快照完全不变","(无)","world_coverage_test.gd:33-39(仅覆盖 paused/services)","有A4探针后继状态证据","Godot/three_d/scripts/world.gd:477;output/external-handoff/A4/a4-world-probe.log","目录里没有、确实缺证据。探针 guard_run_panel_isolated 把 controls_enabled 置真隔离该守卫项（A4ISO 标注）"
"modal_guards","world.gd::request_action","Godot/three_d/scripts/world.gd:477","action_busy","道具/皮箱动画进行中","request_action(anchor)","rejected：返回 false","checkpoint_state 快照完全不变","world.busy_guard","world_coverage_test.gd:29-30","已登记且有后继状态证据","Godot/three_d/scripts/world.gd:477;Godot/three_d/tests/world_coverage_test.gd","busy 是唯一在公开入口下不被 can_interact 掩盖的守卫项，语义上与其它四项守卫不同（见 README）"
"modal_guards","world.gd::open_services","Godot/three_d/scripts/world.gd:888","paused","paused==true","open_services(mode)","rejected：返回","services_panel.visible==false","(无)","(无)","有A4探针后继状态证据","Godot/three_d/scripts/world.gd:887-889;output/external-handoff/A4/a4-world-probe.log","目录里没有 open_services 的登记。探针 open_services_blocked_paused PASS"
"modal_guards","world.gd::open_services","Godot/three_d/scripts/world.gd:888","run_panel.visible","run_panel 可见","open_services(mode)","rejected：返回","services_panel.visible==false","(无)","(无)","有A4探针后继状态证据","Godot/three_d/scripts/world.gd:887-889;output/external-handoff/A4/a4-world-probe.log","探针 open_services_blocked_run_panel PASS"
"modal_guards","world.gd::open_services","Godot/three_d/scripts/world.gd:887","func open_services","paused==false 且 run_panel 不可见","open_services(mode,item)","accepted：services_panel.refresh+show；hint 清空；controls_enabled=false；seat_panel 隐藏；准星隐藏；鼠标可见","services_panel.visible==true；service_mode==mode；player.controls_enabled==false","world.services_open","spatial_interaction_test.gd:41-42;services_save_test.gd:84;playtest_seed_test.gd:31;routes_items_test.gd:121","已登记且有后继状态证据","Godot/three_d/scripts/world.gd:887-899;output/external-handoff/A4/a4-world-probe.log","目录里没有任何 open_services 登记（见 README 的空白区结论）；当前目录复用 world.services_open，不新增分母。"
"modal_guards","world.gd::close_services","Godot/three_d/scripts/world.gd:901","func close_services","玩家关闭服务弹窗 / 按 Esc / 按 B / 成交自动关","close_services()","accepted：面板隐藏；controls_enabled=not seated and not paused；seat_panel.visible=seated and not paused；准星与鼠标模式同步","services_panel.visible==false；入座态下 seat_panel.visible==true","world.services_close","services_save_test.gd:87;spatial_interaction_test.gd:94;output/external-handoff/A4/a4-world-probe.log","已登记且有后继状态证据","Godot/three_d/scripts/world.gd:901-906","探针 close_services_restores 与 services_while_seated 核对入座/非入座两种后继；当前目录复用 world.services_close，不新增分母。"
"modal_guards","world.gd::service_action","Godot/three_d/scripts/world.gd:909","not services_panel.visible","服务弹窗不可见","service_action(kind,item_id,revision)","rejected：返回","run_game 状态不变（checkpoint_state 快照不变）","(无)","(无)","有A4探针后继状态证据","Godot/three_d/scripts/world.gd:908-910;output/external-handoff/A4/a4-world-probe.log","目录里没有 world.service_action 的任何登记。探针 service_action_panel_hidden_noop PASS"
"modal_guards","world.gd::service_action","Godot/three_d/scripts/world.gd:909","paused","paused==true 且 services_panel 仍可见（pause_game 不隐藏服务面板）","service_action(kind,item_id,revision)","rejected：返回","run_game 状态不变；services_panel 仍可见","(无)","(无)","有A4探针后继状态证据","Godot/three_d/scripts/world.gd:908-910;output/external-handoff/A4/a4-world-probe.log","探针 service_action_paused_noop PASS"
"modal_guards","world.gd::service_action","Godot/three_d/scripts/world.gd:913","for action in run_game.service_view","请求的 (kind,id,target) 不在当前 service_view 提供的动作集合内","service_action(kind,item_id,revision,target_id)","rejected：返回","run_game 状态不变；services_panel 仍可见","(无)","playtest_seed_test.gd:32-33","有A4探针后继状态证据","Godot/three_d/scripts/world.gd:911-916;output/external-handoff/A4/a4-world-probe.log","既有测试证据不足：playtest_seed_test.gd:32-33 只核 trace 未新增一行，未核 run 快照与面板状态。探针 service_action_not_offered_noop 补齐"
"modal_guards","world.gd::service_action","Godot/three_d/scripts/world.gd:920","kind == ""route""","请求的路线已在 service_view 中提供","service_action(""route"", route_id, revision)","accepted：close_services() 后 show_run_panel('route:'+id, preview_only=true)","services_panel.visible==false；run_panel.visible==true；run_confirm.disabled==true（预览不结算）","world.services_route_preview","spatial_interaction_test.gd:65-67;output/external-handoff/A4/a4-world-probe.log","已登记且有后继状态证据","Godot/three_d/scripts/world.gd:917-920","目录里没有登记。探针 service_action_route_preview PASS；当前目录复用 world.services_route_preview，不新增分母。"
"modal_guards","world.gd::service_action","Godot/three_d/scripts/world.gd:932","if kind == ""buy"":","商品在当前 shelf 已上架且现金/行动力足够","service_action(""buy"", item_id, revision)","accepted：run_game 扣款入包；refresh_economy/refresh_table；bar_display.deliver；characters.deliver；hint 提示已放入背包；close_services","inventory 增加该物品；services_panel.visible==false","world.services_buy","services_save_test.gd:84-86;spatial_interaction_test.gd:87-88","已登记且有后继状态证据","Godot/three_d/scripts/world.gd:921-941;Godot/three_d/tests/services_save_test.gd","目录里没有登记；当前目录复用 world.services_buy，不新增分母。"
"modal_guards","world.gd::service_action","Godot/three_d/scripts/world.gd:924","if run_game.service_action","固定种子试玩中 intel/cargo-table 出现在当前 service_view 的可用动作集合","service_action(""intel"", ""cargo-table"", revision)","accepted：情报写入已知规则；行动力与 revision 各减少/增加 1；服务面板保持可见","known_rules==[""cargo-table""]；action_points 减 1；revision 加 1；现金不变；service_view revision 同步","world.services_intel","routes_items_test.gd:121-123;services_save_test.gd:99;playtest_seed_test.gd:34-36","已登记且有后继状态证据","Godot/three_d/scripts/world.gd:921-929;Godot/three_d/tests/routes_items_test.gd","目录里没有登记。playtest_seed_test.gd:34-36 只核 trace，未核 run 快照（该例证据不足）；routes_items_test.gd:123 核了目标标题文本；仅映射固定种子测试中的 intel/cargo-table 具体结果，不概括其他服务动作。"
"modal_guards","world.gd::toggle_pause","Godot/three_d/scripts/world.gd:587","if services_panel.visible:","服务弹窗可见时按 Esc","toggle_pause()","accepted：close_services() 后返回（不进入暂停）","services_panel.visible==false；paused==false","(无)","(无)","未找到测试","Godot/three_d/scripts/world.gd:586-592","互斥处理：Esc 首次用于关闭弹窗而非暂停。既有测试未覆盖该互斥顺序"
