类别,ID,名称,所属酒馆,规则定义位置,执行入口,获得或解锁条件,成本,效果或收益,限制,测试证据,实现状态,验证状态,生成脚本,导出文件,加载函数,运行使用点,缺口
路线-固定,hack-door,伪装员工门禁,霓虹扑克俱乐部,content.json:784-791,同上,同上,预付 max(10;60-0)=60 / 尾款 25,同上,同上,同上,已实现,已核验,-,-,-,-,-
路线-特殊,service-stairs,后厨楼梯,烟雾酒馆,content.json:679-687,advanced_services.gd:52-54 揭示;routes.gd:25-31 报价,使用 kitchen-pass 揭示入口(需探索阶段),尾款 max(10;25-0)=25,撤离到账；不牺牲财物,未揭示不可用;风声>maxHeat(5) 拒绝;揭示后跨店清除,advanced_coverage 26 / routes_items 54 / route_guard 192,已实现,已核验,-,-,-,-,-
路线-特殊,river-launch,河边接驳,烟雾酒馆,content.json:688-696,同上(dock-passkey),使用 dock-passkey 揭示,尾款 max(10;40-0)=40,同上,同上(风声>4 拒绝),advanced_coverage 26 / route_guard 192,已实现,已核验,-,-,-,-,-
路线-特殊,service-elevator,服务电梯,高层套房,content.json:717-725,同上,使用 kitchen-pass 揭示,尾款 max(10;30-0)=30,同上,同上,advanced_coverage 26 / route_guard 192,已实现,已核验,-,-,-,-,content.json 配置键 service-stairs 与实际 id service-elevator 不一致
路线-特殊,basement-garage,地下车库,高层套房,content.json:726-734,同上,使用 dock-passkey 揭示,尾款 max(10;45-0)=45,同上,同上,同上,已实现,已核验,-,-,-,-,配置键 river-launch ≠ 实际 id basement-garage
路线-特殊,emergency-exit,紧急出口,屋顶会所,content.json:755-763,同上,使用 kitchen-pass 揭示,尾款 max(10;20-5)=15,同上,同上,同上,已实现,已核验,-,-,-,-,配置键 river-launch/service-stairs 与实际 id 不一致
路线-特殊,helipad-drop,直升机坪离场,屋顶会所,content.json:764-772,同上,使用 dock-passkey 揭示,尾款 max(10;50-5)=45,同上,同上,同上,已实现,已核验,-,-,-,-,无 rooftop 专属 heliport 参考图;配置键 ≠ 实际 id
路线-特殊,neural-jammer,神经干扰走廊,霓虹扑克俱乐部,content.json:793-801,同上,使用 kitchen-pass 揭示,尾款 max(10;30-10)=20,同上,同上,同上,已实现,已核验,-,-,-,-,配置键 ≠ 实际 id
路线-特殊,quantum-portal,量子传送门,霓虹扑克俱乐部,content.json:802-810,同上,使用 dock-passkey 揭示,尾款 max(10;55-10)=45,同上,同上,同上,已实现,已核验,-,-,-,-,配置键 ≠ 实际 id
通用撤离,general,普通出口(受税走人),全酒馆共用入口,Godot/three_d/rules/routes.gd:10-15,run.gd:233 extract / run.gd:223 discover_exit,需 public_exit 已发现(告示或完成一桌),平费+现金比例(风向 5 时另加封锁附加),撤离到账；不牺牲财物,未发现出口不可用;风声≥6 封锁;现金不足;活动牌桌未结束,route_guard 192 / lifecycle_coverage / transfer_coverage 12,已实现,已核验,-,-,-,-,web 版 forcedExitLossFactor 参数在 Godot 侧未被读取
通用撤离,fixed,预约接应,全酒馆共用的 fixed 类型,Godot/three_d/rules/routes.gd:16-24,run.gd:233 extract / advanced_services.gd:44-51 reserve,需先预约且未过期,预约预付 + 撤离尾款(两次独立扣除),撤离到账；不牺牲财物,无预约/已过期/风声超限拒绝;跨店清除预约,reservation_coverage 88 / route_guard 192,已实现,已核验,-,-,-,-,预约类型与 8 条固定路线共用同一代码路径(16 条计数不含此 4 类通用)
通用撤离,dropbag-cash,紧急出口·丢现金,全酒馆共用入口,Godot/three_d/rules/routes.gd:32-42,run.gd:233 extract,需 emergency_known()(风声≥4 或已完成一桌或持有贵重物),固定费 10 + 舍弃 min(floor(现金×40%);max(0;现金−10)),保证成功撤离,现金不足支付 10 拒绝;活动牌桌未结束,lifecycle_coverage(extract 组) / route_guard 192,已实现,已核验,-,-,-,-,BUG-P1-001 已修复(现金 10-15 时舍弃额超本金)
通用撤离,dropbag-valuables,紧急出口·丢贵重物,全酒馆共用入口,Godot/three_d/rules/routes.gd:32-42,run.gd:233 extract,需 emergency_known() 且持有贵重物,固定费 10 + 舍弃全部贵重物,保证成功撤离,无贵重物时最终原因为“没有可舍弃的贵重物”(不构成独立拒绝态),lifecycle_coverage / route_guard 192,已实现,已核验,-,-,-,-,-
